City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description,Date
251,Smithers,CA,54.78,-127.17,24.8,85,1,8.05,clear sky,2021-01-05 06:15:05
252,Ajdabiya,LY,30.76,20.23,53.83,67,100,7.31,overcast clouds,2021-01-05 06:17:40
253,Fort Saint James,CA,54.43,-124.25,18.68,95,69,3.2,broken clouds,2021-01-05 06:17:41
254,Sibolga,ID,1.74,98.78,86.49,61,44,6.15,scattered clouds,2021-01-05 06:17:33
255,Kathu,TH,7.92,98.33,84.99,70,40,3.36,scattered clouds,2021-01-05 06:17:41
256,Leningradskiy,RU,69.38,178.42,-8.64,89,99,10.74,overcast clouds,2021-01-05 06:17:41
257,Los Algarrobos,PA,8.5,-82.43,70.03,75,59,4.94,broken clouds,2021-01-05 06:17:41
258,Havoysund,NO,71.0,24.66,39.2,86,75,14.99,light rain,2021-01-05 06:17:42
259,Katherine,AU,-14.47,132.27,93.2,49,65,6.93,broken clouds,2021-01-05 06:17:42
260,Trinidad,BO,-14.83,-64.9,72.84,94,99,3.76,light rain,2021-01-05 06:17:42
261,Sorland,NO,67.67,12.69,41.0,100,75,16.11,broken clouds,2021-01-05 06:17:43
262,Saint-Philippe,RE,-21.36,55.77,84.2,62,75,21.92,broken clouds,2021-01-05 06:17:43
263,Shahr-E Kord,IR,32.33,50.86,28.4,58,0,2.24,clear sky,2021-01-05 06:17:43
264,Rio Gallegos,AR,-51.62,-69.22,50.0,53,0,12.75,clear sky,2021-01-05 06:17:43
265,Chokurdakh,RU,70.63,147.92,-20.34,88,100,11.9,overcast clouds,2021-01-05 06:17:43
266,Hobart,AU,-42.88,147.33,71.01,46,20,14.99,few clouds,2021-01-05 06:15:07
267,Matadi,CD,-5.82,13.45,77.14,89,97,0.6,overcast clouds,2021-01-05 06:17:44
